date,description,amount,category
2024-05-05,Netflix Subscription,15.99,Entertainment
2024-05-06,Electric Bill,88.00,Living Expenses
2024-05-07,Mothers Day Dinner,75.00,Outside Food
2024-05-08,Amazon Personal Items,48.00,Shopping
2024-05-09,Chevron Gas,57.00,Gas
2024-05-10,Spotify Premium,9.99,Entertainment
2024-05-11,DoorDash,33.00,Outside Food
2024-05-12,Zara Clothing,140.00,Shopping
2024-05-13,Internet Bill,60.00,Living Expenses
2024-05-14,Costco Grocery,145.00,Groceries
2024-05-15,Starbucks,9.50,Outside Food
2024-05-16,Shell Gas Station,61.00,Gas
2024-05-17,Concert Tickets,85.00,Entertainment
2024-05-18,Target Personal Items,39.00,Shopping
2024-05-19,Chipotle,14.50,Outside Food
2024-05-20,Water Bill,35.00,Living Expenses
2024-05-21,Memorial Day BBQ Groceries,65.00,Groceries
2024-05-22,Car Insurance,95.00,Car EMI
2024-05-23,YouTube Premium,13.99,Entertainment
2024-05-24,Bath and Body Works,48.00,Shopping
2024-05-25,Panera Bread,16.50,Outside Food
2024-05-26,Phone Bill,85.00,Living Expenses
2024-05-27,Gym Membership,40.00,Living Expenses
2024-05-28,Perfume Macys,72.00,Shopping
2024-05-29,BP Gas Station,62.00,Gas
2024-05-30,Uber Eats,31.00,Outside Food
2024-05-31,H&M Clothes,88.00,Shopping
2024-06-01,Whole Foods Grocery,93.00,Groceries
2024-06-02,Car EMI Payment,320.00,Car EMI
2024-06-03,Rent Payment,1200.00,Living Expenses
2024-06-04,Shell Gas Station,65.00,Gas
2024-06-05,Netflix Subscription,15.99,Entertainment
2024-06-06,Electric Bill,115.00,Living Expenses
2024-06-07,DoorDash,36.00,Outside Food
2024-06-08,Amazon Clothes,82.00,Shopping
2024-06-09,Chevron Gas,60.00,Gas
2024-06-10,Spotify Premium,9.99,Entertainment
2024-06-11,Starbucks,10.00,Outside Food
2024-06-12,Internet Bill,60.00,Living Expenses
2024-06-13,Summer Vacation Flight,520.00,Travel
2024-06-14,Summer Vacation Hotel,680.00,Travel
2024-06-15,Summer Vacation Food,120.00,Travel
2024-06-16,Summer Vacation Activities,95.00,Travel
2024-06-17,Costco Grocery,150.00,Groceries
2024-06-18,Shell Gas Station,63.00,Gas
2024-06-19,Zara Clothing,155.00,Shopping
2024-06-20,Chipotle,15.50,Outside Food
2024-06-21,Water Bill,35.00,Living Expenses
2024-06-22,Walmart Grocery,82.00,Groceries
2024-06-23,Car Insurance,95.00,Car EMI
2024-06-24,YouTube Premium,13.99,Entertainment
2024-06-25,Perfume Sephora,85.00,Shopping
2024-06-26,Panera Bread,18.00,Outside Food
2024-06-27,Phone Bill,85.00,Living Expenses
2024-06-28,Gym Membership,40.00,Living Expenses
2024-06-29,Nike Clothes,98.00,Shopping
2024-06-30,BP Gas Station,67.00,Gas
